-1,0.0,-0.08,64,0.483714704294,0.041852656808,-0.44,0.44,-4.42
-1,0.002,0.19,75,0.707257828452,0.19504402045,-0.51,0.51,-3.32
1,1.0,4.674,66,0.731264537713,0.247882607931,-0.48,0.48,-3.05
1,0.999,2.802,66,0.99128816984,0.00395719435908,-0.99,0.99,-14.81
-1,0.992,3.118,72,0.838576053486,0.00181124649402,-0.84,0.84,-11.48
-1,0.01,0.217,33,0.251231614099,0.247152431777,-0.00,0.00,-0.03
-1,0.002,0.494,51,0.890626616954,0.103908975361,-0.79,0.79,-6.13
-1,0.001,0.08,45,0.342761640173,0.466834721208,0.12,0.12,0.75
-1,0.0,0.238,55,0.73109636621,0.157295354829,-0.57,0.57,-3.86
-1,0.724,1.22,57,0.907202128302,0.0399646486254,-0.87,0.87,-7.88
-1,0.003,0.459,48,0.871586643627,0.0118760679556,-0.86,0.86,-9.14
-1,1.0,1.403,87,0.137579960499,0.734173428255,0.60,0.60,4.11
-1,1.0,2.092,82,0.654816654058,0.0822797707845,-0.57,0.57,-4.40
-1,0.0,-0.586,61,0.108698204819,0.689250847143,0.58,0.58,4.18
-1,1.0,3.211,97,0.179988917398,0.57518129053,0.40,0.40,2.62
1,1.0,9.477,99,0.998241547892,0.000965880922484,-1.00,1.00,-19.16
-1,0.998,1.505,61,0.44363638712,0.16679329295,-0.28,0.28,-1.99
-1,0.0,-0.147,50,0.130493742965,0.705364915109,0.57,0.57,4.00
-1,0.277,0.257,60,0.743385891234,0.135827443044,-0.61,0.61,-4.20
-1,0.004,-0.039,87,0.573085705588,0.397484237405,-0.18,0.18,-1.02
-1,0.001,-0.194,86,0.366278978352,0.43042163681,0.06,0.06,0.39
1,1.0,3.998,59,0.893829712625,0.0318413346973,-0.86,0.86,-8.00
-1,0.018,0.662,82,0.655026228917,0.0156743446806,-0.64,0.64,-6.90
-1,1.0,4.488,91,0.73170342809,0.112893543188,-0.62,0.62,-4.42
-1,0.983,2.132,91,0.505776705789,0.332119644495,-0.17,0.17,-1.04
-1,0.002,-0.207,57,0.772664768807,0.219814779192,-0.55,0.55,-3.59
1,0.181,1.913,51,0.57534236384,0.0101556000152,-0.57,0.57,-7.04
1,0.941,1.801,50,0.83758711733,0.065578984014,-0.77,0.77,-6.20
1,0.431,-0.352,50,0.602155235883,0.0110455240105,-0.59,0.59,-7.08
1,1.0,1.786,50,0.826463107286,0.167740019697,-0.66,0.66,-4.56
-1,1.0,1.524,75,0.0208984559653,0.684579840803,0.66,0.66,6.67
1,1.0,9.693,97,0.978181542398,0.0116798516834,-0.97,0.97,-11.89
-1,0.968,1.03,60,0.139913626547,0.817765220566,0.68,0.68,4.79
1,1.0,7.344,95,0.7340633105,0.117781978893,-0.62,0.62,-4.37
1,1.0,7.261,92,0.995968149821,0.00172055218825,-0.99,0.99,-17.13
-1,0.0,-0.012,61,0.720082132904,0.0954168587198,-0.62,0.62,-4.61
-1,1.0,2.445,65,0.703751477545,0.0698880921334,-0.63,0.63,-4.98
-1,0.0,-3.589,98,0.248234851268,0.310283153503,0.06,0.06,0.45
1,0.009,0.362,17,0.505984116755,0.302516335898,-0.20,0.20,-1.24
1,1.0,9.627,98,0.775823680862,0.0920981889377,-0.68,0.68,-5.09
1,1.0,9.627,98,0.775823680862,0.0920981889377,-0.68,0.68,-5.09
-1,0.106,-0.172,52,0.0588090220278,0.481923447577,0.42,0.42,3.90
-1,0.025,1.622,59,0.660327074031,0.208288737672,-0.45,0.45,-2.89
-1,0.0,-0.01,88,0.28258383821,0.239780825493,-0.04,0.04,-0.32
-1,0.492,0.063,88,0.728811612089,0.268058510376,-0.46,0.46,-2.88
-1,0.99,0.231,96,0.417750882083,0.163642681414,-0.25,0.25,-1.87
-1,0.106,0.324,58,0.897914883225,0.0472695005562,-0.85,0.85,-7.47
-1,0.001,-0.649,50,0.0616994661783,0.617250710305,0.56,0.56,4.62
-1,0.007,0.443,61,0.798372498775,0.0990173689794,-0.70,0.70,-5.17
-1,0.001,-1.041,81,0.300839012351,0.26825962967,-0.03,0.03,-0.23
1,0.005,1.19,98,0.427030431561,0.169746352543,-0.26,0.26,-1.87
1,1.0,4.133,99,0.660802680723,0.172446195726,-0.49,0.49,-3.22
1,1.0,6.048,99,0.957461277498,0.00152291350378,-0.96,0.96,-13.85
1,1.0,6.168,80,0.753203376,0.0945109101333,-0.66,0.66,-4.87
1,1.0,3.118,80,0.726606655102,0.0579375252408,-0.67,0.67,-5.43
1,1.0,6.27,80,0.804962167148,0.0567272831317,-0.75,0.75,-6.10
1,1.0,7.5,80,0.846233459999,0.0546066286366,-0.79,0.79,-6.57
-1,0.0,-1.384,75,0.329687514136,0.358498787893,0.03,0.03,0.18
1,0.007,0.039,96,0.351864190597,0.168316355816,-0.18,0.18,-1.42
1,1.0,9.689,96,0.851734858099,0.0659630857661,-0.79,0.79,-6.35
1,1.0,7.989,91,0.796673775136,0.0719013671379,-0.72,0.72,-5.66
1,1.0,7.989,91,0.796673775136,0.0600336524395,-0.74,0.74,-5.94
1,0.199,0.546,91,0.42492185396,0.118637814808,-0.31,0.31,-2.46
1,1.0,4.972,91,0.725495796942,0.115973913127,-0.61,0.61,-4.33
1,1.0,9.089,93,0.913894628755,0.0420338513839,-0.87,0.87,-7.92
1,0.999,3.405,93,0.62941151457,0.16375399628,-0.47,0.47,-3.12
-1,0.007,0.213,45,0.75718323551,0.119230104704,-0.64,0.64,-4.53
1,0.998,5.125,64,0.997323587994,0.00140768326555,-1.00,1.00,-18.01
-1,0.005,0.284,57,0.443596461641,0.528670454818,0.09,0.09,0.49
-1,0.0,0.067,54,0.195678944709,0.768234695054,0.57,0.57,3.77
-1,0.0,0.519,54,0.0170417340374,0.812556360837,0.80,0.80,7.97
