-1,0.004,0.08,32,0.621350465224,0.13637456835,-0.48,0.48,-3.38,-1
-1,0.131,0.226,28,0.463184414844,0.440176278213,-0.02,0.02,-0.13,-1
1,0.998,2.549,29,0.712332843484,0.209290926943,-0.50,0.50,-3.23,1
1,0.999,4.955,29,0.933821474328,0.0326862754563,-0.90,0.90,-8.71,1
-1,0.983,2.666,30,0.832418466552,0.0111327952464,-0.82,0.82,-8.79,-1
-1,0.0,-0.267,24,0.441441398711,0.159702910361,-0.28,0.28,-2.06,-1
-1,0.002,1.285,19,0.983065036286,0.00758107703782,-0.98,0.98,-12.89,-1
-1,0.002,-0.497,24,0.202730047541,0.738665573281,0.54,0.54,3.47,-1
-1,0.0,-0.882,26,0.434586619376,0.225046101997,-0.21,0.21,-1.40,-1
-1,0.164,0.659,22,0.75857014947,0.041127018049,-0.72,0.72,-6.19,-1
-1,0.088,0.61,27,0.858756385213,0.0223419321661,-0.84,0.84,-8.06,-1
-1,1.0,0.76,33,0.248774105775,0.460068448262,0.21,0.21,1.36,-1
-1,1.0,1.506,31,0.738909373145,0.0511184392747,-0.69,0.69,-5.72,-1
-1,0.0,-0.266,27,0.168732611078,0.649371699319,0.48,0.48,3.19,-1
-1,1.0,1.979,38,0.178720883533,0.627344153361,0.45,0.45,2.95,-1
1,1.0,5.508,40,0.762883458895,0.0963719591371,-0.67,0.67,-4.91,1
-1,0.971,1.083,32,0.759359472803,0.0499356551159,-0.71,0.71,-5.91,-1
-1,0.001,-0.148,25,0.136457782215,0.664806006788,0.53,0.53,3.65,-1
-1,0.63,0.183,26,0.542742656764,0.201110655003,-0.34,0.34,-2.24,-1
-1,0.208,0.408,36,0.393596108813,0.296052048674,-0.10,0.10,-0.63,-1
-1,0.893,-0.234,26,0.391801478449,0.585031258409,0.19,0.19,1.13,-1
1,1.0,2.964,32,0.944074685472,0.0162122200018,-0.93,0.93,-10.00,1
-1,0.108,1.274,38,0.865939702883,0.00478561852073,-0.86,0.86,-10.39,-1
-1,1.0,4.493,35,0.693821885882,0.118754136855,-0.58,0.58,-4.07,-1
-1,0.993,2.149,35,0.482048763964,0.286198400679,-0.20,0.20,-1.21,-1
-1,0.03,0.359,30,0.602962664756,0.38543604545,-0.22,0.22,-1.28,-1
1,1.0,2.522,27,0.679920091648,0.0936912947128,-0.59,0.59,-4.36,1
1,1.0,2.522,27,0.679920091648,0.0936912947128,-0.59,0.59,-4.36,1
1,0.939,-0.419,27,0.386238586779,0.117489066593,-0.27,0.27,-2.24,1
1,1.0,1.757,27,0.627946692921,0.191823423381,-0.44,0.44,-2.83,1
-1,1.0,1.431,32,0.107415584538,0.581444357196,0.47,0.47,3.53,-1
